ticker,source
ADANIENT,Nifty 50
ADANIPORTS,Nifty 50
APOLLOHOSP,Nifty 50
ASIANPAINT,Nifty 50
AXISBANK,Nifty 50
BAJAJ-AUTO,Nifty 50
BAJFINANCE,Nifty 50
BAJAJFINSV,Nifty 50
BEL,Nifty 50
BHARTIARTL,Nifty 50
CIPLA,Nifty 50
COALINDIA,Nifty 50
DRREDDY,Nifty 50
EICHERMOT,Nifty 50
ETERNAL,Nifty 50
GRASIM,Nifty 50
HCLTECH,Nifty 50
HDFCBANK,Nifty 50
HDFCLIFE,Nifty 50
HINDALCO,Nifty 50
HINDUNILVR,Nifty 50
ICICIBANK,Nifty 50
ITC,Nifty 50
INFY,Nifty 50
INDIGO,Nifty 50
JSWSTEEL,Nifty 50
JIOFIN,Nifty 50
KOTAKBANK,Nifty 50
LT,Nifty 50
M&M,Nifty 50
MARUTI,Nifty 50
MAXHEALTH,Nifty 50
NTPC,Nifty 50
NESTLEIND,Nifty 50
ONGC,Nifty 50
POWERGRID,Nifty 50
RELIANCE,Nifty 50
SBILIFE,Nifty 50
SHRIRAMFIN,Nifty 50
SBIN,Nifty 50
SUNPHARMA,Nifty 50
TCS,Nifty 50
TATACONSUM,Nifty 50
TMPV,Nifty 50
TATASTEEL,Nifty 50
TECHM,Nifty 50
TITAN,Nifty 50
TRENT,Nifty 50
ULTRACEMCO,Nifty 50
WIPRO,Nifty 50
