buy_signal_date,sell_signal_date,ticker,pattern,entry_price,target_return_pct,target_price,sell_price,realized_return_pct
2023-11-16,2023-11-23,HEROMOTOCO.NS,A_breakout_40d,3289.7,6.0,3487.082,3568.0,8.46
2023-11-17,2023-11-23,HEROMOTOCO.NS,A_breakout_40d,3357.0,6.0,3558.42,3568.0,6.29
2023-11-20,2023-11-28,BAJAJ-AUTO.NS,A_breakout_40d,5640.5,6.0,5978.93,5998.1499,6.34
2023-11-16,2023-11-28,BPCL.NS,A_breakout_40d,200.0,6.0,212.0,212.25,6.12
2023-11-21,2023-11-29,BAJAJ-AUTO.NS,A_breakout_40d,5680.0,6.0,6020.8,6069.9502,6.87
2023-11-22,2023-11-29,BPCL.NS,A_breakout_40d,201.775,6.0,213.8815,214.325,6.22
2023-11-17,2023-11-29,TVSMOTOR.NS,A_breakout_40d,1754.95,6.0,1860.247,1863.65,6.19
2023-11-23,2023-11-30,HEROMOTOCO.NS,A_breakout_40d,3568.0,6.0,3782.08,3819.05,7.04
2023-11-16,2023-12-01,NTPC.NS,A_breakout_40d,253.0,6.0,268.18,268.95,6.3
2023-11-23,2023-12-01,TVSMOTOR.NS,A_breakout_40d,1783.0,6.0,1889.98,1909.8,7.11
2023-11-13,2023-12-04,BEL.NS,A_breakout_40d,144.5,6.0,153.17,153.55,6.26
2023-11-28,2023-12-04,BPCL.NS,A_breakout_40d,213.0,6.0,225.78,230.75,8.33
2023-11-29,2023-12-04,BPCL.NS,A_breakout_40d,217.25,6.0,230.285,230.75,6.21
2023-11-13,2023-12-04,EICHERMOT.NS,A_breakout_40d,3689.0,6.0,3910.34,4180.3501,13.32
2023-11-15,2023-12-04,EICHERMOT.NS,A_breakout_40d,3848.05,6.0,4078.933,4180.3501,8.64
2023-11-30,2023-12-04,EICHERMOT.NS,A_breakout_40d,3922.0,6.0,4157.32,4180.3501,6.59
2023-11-28,2023-12-04,IOC.NS,A_breakout_40d,108.7,6.0,115.222,115.9,6.62
2023-11-30,2023-12-04,MAXHEALTH.NS,A_breakout_40d,628.75,6.0,666.475,691.4,9.96
2023-12-04,2023-12-05,ADANIENT.NS,A_breakout_40d,2531.2,6.0,2683.072,2959.3501,16.91
2023-11-28,2023-12-05,ADANIGREEN.NS,A_breakout_40d,1089.65,6.0,1155.029,1348.5,23.76
2023-12-04,2023-12-05,ADANIGREEN.NS,A_breakout_40d,1126.0,6.0,1193.56,1348.5,19.76
2023-11-28,2023-12-05,ADANIPORTS.NS,A_breakout_40d,850.0,6.0,901.0,1013.1,19.19
2023-12-04,2023-12-05,ADANIPORTS.NS,A_breakout_40d,884.0,6.0,937.04,1013.1,14.6
2023-11-28,2023-12-05,ADANIPOWER.NS,A_breakout_40d,91.34,6.0,96.8204,107.63,17.83
2023-12-04,2023-12-05,AMBUJACEM.NS,A_breakout_40d,475.0,6.0,503.5,509.05,7.17
2023-11-30,2023-12-05,BPCL.NS,A_breakout_40d,220.0,6.0,233.2,236.1,7.32
2023-11-30,2023-12-05,NTPC.NS,A_breakout_40d,262.35,6.0,278.091,285.45,8.81
2023-12-05,2023-12-06,ADANIGREEN.NS,A_breakout_40d,1474.5,6.0,1562.97,1563.45,6.03
2023-11-30,2023-12-06,LT.NS,A_breakout_40d,3129.95,6.0,3317.747,3392.3,8.38
2023-11-28,2023-12-06,TATAPOWER.NS,A_breakout_40d,275.0,6.0,291.5,294.15,6.96
2023-11-29,2023-12-06,TATAPOWER.NS,A_breakout_40d,273.0,6.0,289.38,294.15,7.75
2023-12-04,2023-12-07,POWERGRID.NS,A_breakout_40d,213.7,6.0,226.522,230.0,7.63
2023-12-01,2023-12-07,TATAPOWER.NS,A_breakout_40d,285.0,6.0,302.1,325.8,14.32
2023-12-04,2023-12-07,TATAPOWER.NS,A_breakout_40d,283.0,6.0,299.98,325.8,15.12
2023-12-06,2023-12-07,TATAPOWER.NS,A_breakout_40d,295.0,6.0,312.7,325.8,10.44
2023-12-01,2023-12-11,BEL.NS,A_breakout_40d,152.0,6.0,161.12,161.25,6.09
2023-11-30,2023-12-11,ULTRACEMCO.NS,A_breakout_40d,9103.7998,6.0,9650.0278,9670.9004,6.23
2023-11-30,2023-12-12,JSWSTEEL.NS,A_breakout_40d,805.0,6.0,853.3,853.85,6.07
2023-12-01,2023-12-12,MAXHEALTH.NS,A_breakout_40d,658.5,6.0,698.01,699.5,6.23
2023-11-23,2023-12-13,BAJAJ-AUTO.NS,A_breakout_40d,5940.0,6.0,6296.4,6316.1001,6.33
2023-12-01,2023-12-13,NTPC.NS,A_breakout_40d,276.0,6.0,292.56,294.05,6.54
2023-12-04,2023-12-13,NTPC.NS,A_breakout_40d,275.2,6.0,291.712,294.05,6.85
2023-11-30,2023-12-13,TRENT.NS,A_breakout_40d,2787.0,6.0,2954.22,2963.45,6.33
2023-11-30,2023-12-13,TVSMOTOR.NS,A_breakout_40d,1883.0,6.0,1995.98,2022.3,7.4
2023-12-04,2023-12-14,BEL.NS,A_breakout_40d,153.7,6.0,162.922,164.0,6.7
2023-11-16,2023-12-14,HCLTECH.NS,A_breakout_40d,1313.4,6.0,1392.204,1414.6,7.71
2023-11-15,2023-12-14,HINDALCO.NS,A_breakout_40d,504.0,6.0,534.24,543.1,7.76
2023-12-04,2023-12-14,ULTRACEMCO.NS,A_breakout_40d,9321.0,6.0,9880.26,9963.2998,6.89
2023-12-05,2023-12-14,ULTRACEMCO.NS,A_breakout_40d,9329.75,6.0,9889.535,9963.2998,6.79
2023-11-29,2023-12-15,GRASIM.NS,A_breakout_40d,1998.0553,6.0,2117.9386,2119.2734,6.07
2023-11-30,2023-12-15,HCLTECH.NS,A_breakout_40d,1346.0,6.0,1426.76,1491.3,10.79
2023-12-08,2023-12-15,HCLTECH.NS,A_breakout_40d,1370.1,6.0,1452.306,1491.3,8.85
2023-12-01,2023-12-15,LT.NS,A_breakout_40d,3285.0,6.0,3482.1,3488.0,6.18
2023-12-04,2023-12-15,SBIN.NS,A_breakout_40d,595.05,6.0,630.753,648.25,8.94
2023-12-06,2023-12-18,ADANIPORTS.NS,A_breakout_40d,1029.0,6.0,1090.74,1094.3,6.35
2023-12-06,2023-12-18,BEL.NS,A_breakout_40d,161.8,6.0,171.508,172.7,6.74
2023-12-07,2023-12-18,BEL.NS,A_breakout_40d,161.35,6.0,171.031,172.7,7.03
2023-12-12,2023-12-18,HINDALCO.NS,A_breakout_40d,528.95,6.0,560.687,566.4,7.08
2023-12-05,2023-12-19,NTPC.NS,A_breakout_40d,288.0,6.0,305.28,309.65,7.52
2023-12-05,2023-12-19,SBIN.NS,A_breakout_40d,614.0,6.0,650.84,655.4,6.74
2023-12-14,2023-12-22,WIPRO.NS,A_breakout_40d,218.025,6.0,231.1065,231.325,6.1
2023-11-29,2023-12-26,HEROMOTOCO.NS,A_breakout_40d,3800.0,6.0,4028.0,4067.45,7.04
2023-11-30,2023-12-26,TATACONSUM.NS,A_breakout_40d,945.9,6.0,1002.654,1007.35,6.5
2023-12-12,2023-12-27,BAJAJ-AUTO.NS,A_breakout_40d,6259.8999,6.0,6635.4939,6709.6499,7.18
2023-12-04,2023-12-27,LT.NS,A_breakout_40d,3319.05,6.0,3518.193,3544.0,6.78
2023-12-11,2023-12-27,ULTRACEMCO.NS,A_breakout_40d,9702.4502,6.0,10284.5972,10436.0996,7.56
2023-12-15,2023-12-28,BEL.NS,A_breakout_40d,171.75,6.0,182.055,182.7,6.38
2023-11-13,2023-12-28,COALINDIA.NS,A_breakout_40d,359.0,6.0,380.54,380.95,6.11
2023-11-15,2023-12-28,COALINDIA.NS,A_breakout_40d,353.0,6.0,374.18,380.95,7.92
2023-12-04,2023-12-28,COALINDIA.NS,A_breakout_40d,355.7,6.0,377.042,380.95,7.1
2023-11-30,2023-12-28,HEROMOTOCO.NS,A_breakout_40d,3860.0,6.0,4091.6,4173.25,8.12
2023-12-04,2023-12-28,NESTLEIND.NS,A_breakout_40d,1222.55,6.0,1295.903,1312.495,7.36
2023-12-06,2023-12-28,POWERGRID.NS,A_breakout_40d,225.0,6.0,238.5,239.1,6.27
