signal_date,ticker,pattern,close,sma50,sma200,prev_high_close,volume,vol_avg20,entry_price,entry_band_low,entry_band_high,stop_pct,stop_price,pattern_family,score_trend,score_setup,score_volume,score_rsi,score_risk,score_pattern,sma50_slope_pct,ma_slope_bonus,feature_recent_signal_count,feature_close_vs_prev_high_pct,feature_close_vs_sma50_pct,feature_gap_pct,feature_range_vs_atr,feature_gap_sequence_risk,feature_exhaustion_risk,pattern_bonus,score_penalty_crowding,score_penalty_extension,score_penalty_gap_shock,score_penalty_total,score_penalty_stop_risk,signal_score_pre_stop_risk_penalty,signal_score,signal_stop_risk,signal_stop_risk_5d,signal_gap_through_stop_risk,signal_mae_exceeds_stop_risk,signal_reliability_score,score_penalty_stop_risk_method,score_penalty_stop_risk_gated,consensus_count,signal_score_pre_lt_health,lt_health_points,lt_health_bonus,markov_state,markov_p_continuation,markov_p_adverse,score_markov_adjustment,signal_score_pre_markov,st_score,st_score_pre_model,markov_state_encoded
2023-11-13,BEL.NS,A_breakout_40d,143.4,137.021,117.0982,140.4,20245049,9622982.3,144.5,143.055,145.945,7.0,134.385,A,100.0,67.1,82.1,64.7,58.0,59.9,0.39,1.57,0,2.1368,4.6555,0.2522,1.6022,0.8544,8.9508,18.0,-0.0,-0.0,-0.0,-0.0,0.0,73.7,73.7,0.1477,0.1154,0.0745,0.1644,85,continuous_power,False,1,73.7,2,0.0,,0.0,0.0,0.0,73.7,48.3,31.2,0|0|0|0|0
2023-11-13,COALINDIA.NS,A_breakout_40d,349.35,294.486,244.2345,323.55,42178783,10091859.2,359.0,355.41,362.59,7.0,333.87,A,100.0,100.0,100.0,79.2,58.0,59.9,3.39,3.0,0,7.974,18.6304,2.9685,2.3889,4.5521,27.1213,18.0,-0.0,-0.0,-0.0,-0.0,0.0,84.5,84.5,0.1329,0.1154,0.0815,0.1575,87,continuous_power,False,1,84.5,2,0.0,,0.0,0.0,0.0,84.5,27.9,31.1,0|0|0|0|0
2023-11-13,EICHERMOT.NS,A_breakout_40d,3645.3999,3431.677,3348.5647,3550.3,875885,390636.5,3689.0,3652.11,3725.89,7.0,3430.77,A,62.4,71.4,84.8,68.4,58.0,59.9,0.58,2.33,0,2.6786,6.2279,1.3909,1.1043,1.4952,10.0914,18.0,-0.0,-0.0,-0.0,-0.0,0.0,68.3,68.3,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,68.3,2,0.0,,0.0,0.0,0.0,68.3,48.3,31.2,0|0|0|0|0
2023-11-15,COALINDIA.NS,A_breakout_40d,350.6,296.897,244.8525,349.35,35092206,11319714.15,353.0,349.47,356.53,7.0,328.29,A,100.0,52.9,100.0,79.6,58.0,59.9,3.62,3.0,1,0.3578,18.0881,2.7623,1.2323,6.0448,18.7085,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.1,75.1,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,75.1,2,0.0,,0.0,0.0,0.0,75.1,39.3,31.2,0|0|0|0|0
2023-11-15,EICHERMOT.NS,A_breakout_40d,3848.3,3441.911,3352.0537,3645.3999,1914550,478980.85,3848.05,3809.5695,3886.5305,7.0,3578.6865,A,63.4,94.5,100.0,77.5,58.0,59.9,0.78,3.0,1,5.5659,11.8071,1.196,2.0789,3.3216,21.9784,18.0,-0.0,-0.0,-0.0,-0.0,0.0,76.0,76.0,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,76.0,2,0.0,,0.0,0.0,0.0,76.0,43.8,31.2,0|0|0|0|0
2023-11-15,HINDALCO.NS,A_breakout_40d,505.4,477.682,441.5782,497.35,11674265,5530896.05,504.0,498.96,509.04,7.0,468.72,A,90.9,62.9,82.2,68.8,58.0,59.9,0.75,3.0,0,1.6186,5.8026,1.9487,1.7107,2.8049,10.2665,18.0,-0.0,-0.0,-0.0,-0.0,0.0,72.6,72.6,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,72.6,2,0.0,,0.0,0.0,0.0,72.6,30.4,31.1,0|0|0|0|0
2023-11-15,ONGC.NS,A_breakout_40d,199.5,186.517,167.0035,195.9,19769385,8913351.2,202.5,200.475,204.525,7.0,188.325,A,100.0,64.7,84.4,70.2,58.0,59.9,1.13,3.0,0,1.8377,6.9608,1.379,1.1721,1.5511,9.593,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.1,75.1,0.1314,0.0912,0.0745,0.1411,87,continuous_power,False,1,75.1,2,0.0,,0.0,0.0,0.0,75.1,36.9,31.1,0|0|0|0|0
2023-11-16,BPCL.NS,A_breakout_40d,199.325,177.4945,177.1355,196.275,15416172,9930847.5,200.0,198.0,202.0,7.0,186.0,A,51.0,62.4,71.0,79.4,58.0,59.9,1.12,3.0,0,1.5539,12.2993,0.3694,1.0597,0.5919,13.9032,18.0,-0.0,-0.0,-0.0,-0.0,0.0,63.4,63.4,0.1289,0.0788,0.0745,0.1353,87,continuous_power,False,1,63.4,2,0.0,,0.0,0.0,0.0,63.4,34.9,31.1,0|0|0|0|0
2023-11-16,HCLTECH.NS,A_breakout_40d,1311.05,1261.597,1155.056,1305.0,3936945,1910849.35,1313.4,1300.266,1326.534,7.0,1221.462,A,96.1,53.7,81.2,65.7,58.0,59.9,0.86,3.0,0,0.4636,3.9199,0.5601,1.8709,2.2081,6.7123,18.0,-0.0,-0.0,-0.0,-0.0,0.0,71.6,71.6,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,71.6,2,0.0,,0.0,0.0,0.0,71.6,52.3,31.2,0|0|0|0|0
2023-11-16,HEROMOTOCO.NS,A_breakout_40d,3280.05,3072.724,2815.6725,3265.8501,963718,552472.25,3289.7,3256.803,3322.597,7.0,3059.421,A,95.6,53.5,74.9,64.4,58.0,59.9,0.75,2.99,0,0.4348,6.7473,0.2565,1.746,1.5894,8.7873,18.0,-0.0,-0.0,-0.0,-0.0,0.0,70.6,70.6,0.1314,0.0815,0.0745,0.1353,87,continuous_power,False,1,70.6,2,0.0,,0.0,0.0,0.0,70.6,48.3,31.2,0|0|0|0|0
2023-11-16,NTPC.NS,A_breakout_40d,252.35,238.511,198.0518,247.3,22145147,10952364.3,253.0,250.47,255.53,7.0,235.29,A,100.0,66.3,80.4,68.6,58.0,59.9,0.97,3.0,0,2.0421,5.8023,0.6066,1.3353,1.8677,10.7036,18.0,-0.0,-0.0,-0.0,-0.0,0.0,74.9,74.9,0.1314,0.0912,0.0745,0.1411,87,continuous_power,False,1,74.9,2,0.0,,0.0,0.0,0.0,74.9,36.9,31.1,0|0|0|0|0
2023-11-16,ONGC.NS,A_breakout_40d,201.8,186.918,167.2507,199.5,18629240,9625759.95,200.85,198.8415,202.8585,7.0,186.7905,A,100.0,59.2,78.7,72.7,58.0,59.9,1.12,3.0,1,1.1529,7.9618,1.5038,0.5304,2.5895,9.4535,18.0,-0.0,-0.0,-0.0,-0.0,0.0,73.4,73.4,0.1314,0.0904,0.0745,0.1411,87,continuous_power,False,1,73.4,2,0.0,,0.0,0.0,0.0,73.4,31.9,31.1,0|0|0|0|0
2023-11-17,APOLLOHOSP.NS,A_breakout_40d,5478.9502,5049.276,4779.5852,5338.75,735541,481244.6,5475.0,5420.25,5529.75,7.0,5091.75,A,78.2,71.0,70.6,71.8,58.0,59.9,0.92,3.0,0,2.6261,8.5096,-0.1227,1.5489,0.864,13.2643,18.0,-0.0,-0.0,-0.0,-0.0,0.0,70.3,70.3,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,70.3,2,0.0,,0.0,0.0,0.0,70.3,34.9,31.1,0|0|0|0|0
2023-11-17,HEROMOTOCO.NS,A_breakout_40d,3334.75,3080.562,2818.4868,3280.05,947293,582633.75,3357.0,3323.43,3390.57,7.0,3122.01,A,96.5,63.3,72.5,67.7,58.0,59.9,0.84,3.0,1,1.6677,8.2514,0.2942,1.2311,1.227,12.0002,18.0,-0.0,-0.0,-0.0,-0.0,0.0,72.5,72.5,0.1314,0.0912,0.0745,0.1411,87,continuous_power,False,1,72.5,2,0.0,,0.0,0.0,0.0,72.5,48.3,31.2,0|0|0|0|0
2023-11-17,SBILIFE.NS,A_breakout_40d,1413.95,1329.237,1236.2977,1373.7,3192944,996760.8,1413.95,1399.8105,1428.0895,7.0,1314.9735,A,87.6,73.4,100.0,67.1,58.0,59.9,0.42,1.66,0,2.93,6.3731,-0.4375,2.6184,1.9098,12.0859,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.0,75.0,0.1289,0.0904,0.0745,0.1353,87,continuous_power,False,1,75.0,2,0.0,,0.0,0.0,0.0,75.0,48.3,31.2,0|0|0|0|0
2023-11-17,SILVERBEES.NS,A_breakout_40d,72.27,70.0974,70.0198,71.83,5847598,3298577.65,72.26,71.5374,72.9826,7.0,67.2018,A,50.6,54.9,75.5,60.0,58.0,59.9,-0.36,0.0,0,0.6126,3.0994,-2.9683,2.6113,1.7299,6.6638,18.0,-0.0,-0.0,-0.0,-0.0,0.0,58.8,58.8,0.1289,0.0815,0.052,0.1353,87,continuous_power,False,1,58.8,2,0.0,,0.0,0.0,0.0,58.8,47.8,31.2,0|0|0|0|0
2023-11-17,TVSMOTOR.NS,A_breakout_40d,1747.6,1558.502,1305.5358,1684.15,1721816,859504.8,1754.95,1737.4005,1772.4995,7.0,1632.1035,A,100.0,80.1,80.1,79.2,58.0,59.9,1.65,3.0,0,3.7675,12.1333,0.7511,2.0365,1.8441,16.4631,18.0,-0.0,-0.0,-0.0,-0.0,0.0,77.9,77.9,0.1477,0.1154,0.0745,0.1669,85,continuous_power,False,1,77.9,2,0.0,,0.0,0.0,0.0,77.9,13.6,13.8,0|0|0|0|0
2023-11-20,BAJAJ-AUTO.NS,A_breakout_40d,5650.1499,5172.396,4578.5233,5631.5,679425,450529.45,5640.5,5584.095,5696.905,7.0,5245.665,A,100.0,52.6,70.2,73.5,58.0,59.9,1.77,3.0,0,0.3312,9.2366,-0.3809,0.8034,0.883,7.7927,18.0,-0.0,-0.0,-0.0,-0.0,0.0,71.0,71.0,0.1434,0.0815,0.0745,0.1575,86,continuous_power,False,1,71.0,2,0.0,,0.0,0.0,0.0,71.0,38.9,31.1,0|0|0|0|0
2023-11-21,BAJAJ-AUTO.NS,A_breakout_40d,5685.9502,5192.439,4587.2693,5650.1499,746193,449643.15,5680.0,5623.2,5736.8,7.0,5282.4,A,100.0,55.1,73.2,74.9,58.0,59.9,1.86,3.0,1,0.6336,9.5044,-0.1708,0.7775,,8.6355,18.0,-0.0,-0.0,0.0,0.0,0.0,71.9,71.9,0.1434,0.0815,0.0745,0.1575,86,continuous_power,False,1,71.9,2,0.0,,0.0,0.0,0.0,71.9,34.9,31.1,0|0|0|0|0
