signal_date,ticker,pattern,pattern_family,entry_price,stop_pct,stop_price,score_trend,score_setup,score_volume,score_rsi,score_risk,score_pattern,sma50_slope_pct,ma_slope_bonus,feature_recent_signal_count,feature_close_vs_prev_high_pct,feature_close_vs_sma50_pct,feature_gap_pct,feature_range_vs_atr,feature_gap_sequence_risk,feature_exhaustion_risk,pattern_bonus,score_penalty_crowding,score_penalty_extension,score_penalty_gap_shock,score_penalty_total,score_penalty_stop_risk,signal_score,markov_state,markov_p_continuation,markov_p_adverse,score_markov_adjustment,signal_score_pre_markov,signal_stop_risk,signal_stop_risk_5d,signal_gap_through_stop_risk,signal_mae_exceeds_stop_risk,signal_reliability_score,signal_score_pre_stop_risk_penalty,score_penalty_stop_risk_method,score_penalty_stop_risk_gated,consensus_count,signal_score_pre_lt_health,lt_health_points,lt_health_bonus,st_score,st_score_pre_model,markov_state_encoded,month,stop_before_target,candidate_name
2013-12-02,BRITANNIA.NS,B_pullback_rebound,B,450.025,3.39,434.75,100.0,48.8,71.1,100.0,79.6,40.7,1.71,3.0,1,-4.7264,3.9347,0.6275,1.4255,1.4802,3.1664,12.2,-0.0,-0.0,-0.0,-0.0,0.0,40.1,,0.0,0.0,0.0,40.1,0.0,0.0,0.0,0.0,100,40.1,continuous_power,False,1,40.1,2,0.0,29.7,25.5,0|0|0|0|0,2013-12,0,scores_only
2013-12-02,EICHERMOT.NS,A_breakout_40d,A,499.865,7.0,464.8744,100.0,100.0,100.0,19.4,58.0,60.0,2.72,3.0,3,6.6424,26.0689,0.5483,3.2186,3.372,34.5897,18.0,-0.0,-0.0,-0.0,-0.0,0.0,94.7,,0.0,0.0,0.0,94.7,0.0,0.0,0.0,0.0,100,94.7,continuous_power,False,1,94.7,2,0.0,61.3,43.6,0|0|0|0|0,2013-12,0,scores_only
2013-12-03,BAJFINANCE.NS,A_breakout_40d,A,14.699,7.0,13.6701,62.3,67.9,80.0,78.7,58.0,60.0,1.94,3.0,0,2.2326,11.5663,0.8285,2.0224,1.8555,12.845,18.0,-0.0,-0.0,-0.0,-0.0,0.0,79.9,,0.0,0.0,0.0,79.9,0.0,0.0,0.0,0.0,100,79.9,continuous_power,False,1,79.9,2,0.0,36.4,30.1,0|0|0|0|0,2013-12,0,scores_only
2013-12-03,EICHERMOT.NS,A_breakout_40d,A,513.775,7.0,477.8108,100.0,72.3,100.0,16.8,58.0,60.0,3.06,3.0,3,2.7828,28.5686,0.8272,2.1611,3.9252,32.1181,18.0,-0.0,-0.0,-0.0,-0.0,0.0,89.1,,0.0,0.0,0.0,89.1,0.0,0.0,0.0,0.0,100,89.1,continuous_power,False,1,89.1,2,0.0,60.4,43.1,0|0|0|0|0,2013-12,0,scores_only
2013-12-03,SHREECEM.NS,B_pullback_rebound,B,4401.5498,5.69,4151.1499,50.3,42.7,73.2,100.0,65.9,40.7,1.07,3.0,0,-2.9577,1.4342,0.0,1.3075,0.3075,1.7501,12.2,-0.0,-0.0,-0.0,-0.0,0.0,29.6,,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,100,29.6,continuous_power,False,2,29.6,2,0.0,49.0,32.9,0|0|0|0|0,2013-12,0,scores_only
2013-12-03,SHREECEM.NS,F_vwap_reclaim,F,4401.5498,1.47,4337.0302,50.3,68.9,73.2,100.0,91.2,39.0,1.07,3.0,1,-2.9577,1.4342,0.0,1.3075,0.3075,1.7501,11.7,-0.0,-0.0,-0.0,-0.0,0.0,6.6,,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,100,6.6,continuous_power,False,2,6.6,2,0.0,49.0,32.9,0|0|0|0|0,2013-12,0,scores_only
2013-12-04,INFY.NS,B_pullback_rebound,B,420.6688,2.98,408.125,100.0,46.6,66.7,100.0,82.1,40.7,1.03,3.0,0,-2.2539,3.5686,0.0373,0.8879,0.0373,2.0181,12.2,-0.0,-0.0,-0.0,-0.0,0.0,40.8,,0.0,0.0,0.0,40.8,0.0,0.0,0.0,0.0,100,40.8,continuous_power,False,1,40.8,2,0.0,46.0,32.9,0|0|0|0|0,2013-12,0,scores_only
2013-12-05,ADANIPORTS.NS,C_macd_crossover,C,160.4,6.61,149.8,65.7,85.0,89.1,100.0,60.3,53.0,1.51,3.0,0,-0.5271,7.1849,3.5286,0.6034,3.7675,5.3805,15.9,-0.0,-0.0,-0.0,-0.0,0.0,70.2,,0.0,0.0,0.0,70.2,0.0,0.0,0.0,0.0,100,70.2,continuous_power,False,2,70.2,2,0.0,48.6,34.7,0|0|0|0|0,2013-12,0,scores_only
2013-12-05,ADANIPORTS.NS,F_vwap_reclaim,F,160.4,4.0,153.9897,65.7,100.0,89.1,100.0,76.0,39.0,1.51,3.0,1,-0.5271,7.1849,3.5286,0.6034,3.7675,5.3805,11.7,-0.0,-0.0,-0.0,-0.0,0.0,30.1,,0.0,0.0,0.0,30.1,0.0,0.0,0.0,0.0,100,30.1,continuous_power,False,2,30.1,2,0.0,43.8,33.1,0|0|0|0|0,2013-12,0,scores_only
2013-12-05,GOLDBEES.NS,B_pullback_rebound,B,28.672,1.05,28.37,75.8,51.8,68.5,98.3,93.7,40.7,0.27,1.07,0,-4.0139,0.0827,0.3198,0.9896,0.7678,0.3103,12.2,-0.0,-0.0,-0.0,-0.0,0.0,21.7,,0.0,0.0,0.0,21.7,0.0,0.0,0.0,0.0,100,21.7,continuous_power,False,1,21.7,2,0.0,46.0,32.9,0|0|0|0|0,2013-12,0,scores_only
