buy_signal_date,ticker,pattern,entry_price,stop_price,status,entered_date,closed_date,last_updated
2023-10-06,BAJAJFINSV.NS,A_breakout_40d,1617.15,1503.9495,Closed,,2026-03-29,2026-03-29
2023-10-06,BAJFINANCE.NS,A_breakout_40d,810.205,753.4907,Closed,,2026-03-29,2026-03-29
2023-10-06,DLF.NS,A_breakout_40d,547.05,508.7565,Closed,,2026-03-29,2026-03-29
2023-10-09,TCS.NS,A_breakout_40d,3640.05,3385.2465,Closed,,2026-03-29,2026-03-29
2023-10-10,COALINDIA.NS,A_breakout_40d,304.55,283.2315,Closed,,2026-03-29,2026-03-29
2023-10-10,DLF.NS,A_breakout_40d,562.6,523.218,Closed,,2026-03-29,2026-03-29
2023-10-12,GRASIM.NS,A_breakout_40d,1988.0452,1848.882,Closed,,2026-03-29,2026-03-29
2023-10-12,TVSMOTOR.NS,A_breakout_40d,1579.2,1468.656,Closed,,2026-03-29,2026-03-29
2023-10-13,DLF.NS,A_breakout_40d,566.0,526.38,Closed,,2026-03-29,2026-03-29
2023-10-13,INDUSINDBK.NS,A_breakout_40d,1462.85,1360.4505,Closed,,2026-03-29,2026-03-29
2023-10-13,TATACONSUM.NS,A_breakout_40d,917.8,853.554,Closed,,2026-03-29,2026-03-29
2023-10-16,HEROMOTOCO.NS,A_breakout_40d,3182.1001,2959.3531,Closed,,2026-03-29,2026-03-29
2023-10-19,BAJAJ-AUTO.NS,A_breakout_40d,5450.0,5068.5,Closed,,2026-03-29,2026-03-29
2023-10-19,HEROMOTOCO.NS,A_breakout_40d,3260.0,3031.8,Closed,,2026-03-29,2026-03-29
2023-10-19,NESTLEIND.NS,A_breakout_40d,1204.9976,1120.6477,Closed,,2026-03-29,2026-03-29
2023-10-20,INDUSINDBK.NS,A_breakout_40d,1469.0,1366.17,Closed,,2026-03-29,2026-03-29
2023-10-20,NESTLEIND.NS,A_breakout_40d,1215.0,1129.95,Closed,,2026-03-29,2026-03-29
2023-11-01,DLF.NS,A_breakout_40d,579.0,538.47,Closed,,2026-03-29,2026-03-29
2023-11-01,TRENT.NS,A_breakout_40d,2210.0,2055.3,Closed,,2026-03-29,2026-03-29
2023-11-03,APOLLOHOSP.NS,A_breakout_40d,5141.0498,4781.1763,Closed,,2026-03-29,2026-03-29
2023-11-03,DLF.NS,A_breakout_40d,597.65,555.8145,Closed,,2026-03-29,2026-03-29
2023-11-03,ETERNAL.NS,A_breakout_40d,119.6,111.228,Closed,,2026-03-29,2026-03-29
2023-11-03,IOC.NS,A_breakout_40d,97.0,90.21,Closed,,2026-03-29,2026-03-29
2023-11-06,EICHERMOT.NS,A_breakout_40d,3480.1001,3236.4931,Closed,,2026-03-29,2026-03-29
2023-11-06,ETERNAL.NS,A_breakout_40d,123.55,114.9015,Closed,,2026-03-29,2026-03-29
2023-11-06,IOC.NS,A_breakout_40d,100.0,93.0,Closed,,2026-03-29,2026-03-29
2023-11-07,IOC.NS,A_breakout_40d,105.4,98.022,Closed,,2026-03-29,2026-03-29
2023-11-07,TRENT.NS,A_breakout_40d,2450.0,2278.5,Closed,,2026-03-29,2026-03-29
2023-11-08,TRENT.NS,A_breakout_40d,2453.0,2281.29,Closed,,2026-03-29,2026-03-29
2023-11-09,ADANIPOWER.NS,A_breakout_40d,79.99,74.3907,Closed,,2026-03-29,2026-03-29
2023-11-09,APOLLOHOSP.NS,A_breakout_40d,5300.0,4929.0,Closed,,2026-03-29,2026-03-29
2023-11-09,COALINDIA.NS,A_breakout_40d,324.45,301.7385,Closed,,2026-03-29,2026-03-29
2023-11-13,BEL.NS,A_breakout_40d,144.5,134.385,Closed,,2026-03-29,2026-03-29
2023-11-13,COALINDIA.NS,A_breakout_40d,359.0,333.87,Closed,,2026-03-29,2026-03-29
2023-11-13,EICHERMOT.NS,A_breakout_40d,3689.0,3430.77,Closed,,2026-03-29,2026-03-29
2023-11-15,COALINDIA.NS,A_breakout_40d,353.0,328.29,Closed,,2026-03-29,2026-03-29
2023-11-15,EICHERMOT.NS,A_breakout_40d,3848.05,3578.6865,Closed,,2026-03-29,2026-03-29
2023-11-15,HINDALCO.NS,A_breakout_40d,504.0,468.72,Closed,,2026-03-29,2026-03-29
2023-11-15,ONGC.NS,A_breakout_40d,202.5,188.325,Closed,,2026-03-29,2026-03-29
2023-11-16,BPCL.NS,A_breakout_40d,200.0,186.0,Closed,,2026-03-29,2026-03-29
2023-11-16,HCLTECH.NS,A_breakout_40d,1313.4,1221.462,Closed,,2026-03-29,2026-03-29
2023-11-16,HEROMOTOCO.NS,A_breakout_40d,3289.7,3059.421,Closed,,2026-03-29,2026-03-29
2023-11-16,NTPC.NS,A_breakout_40d,253.0,235.29,Closed,,2026-03-29,2026-03-29
2023-11-16,ONGC.NS,A_breakout_40d,200.85,186.7905,Closed,,2026-03-29,2026-03-29
2023-11-17,APOLLOHOSP.NS,A_breakout_40d,5475.0,5091.75,Closed,,2026-03-29,2026-03-29
2023-11-17,HEROMOTOCO.NS,A_breakout_40d,3357.0,3122.01,Closed,,2026-03-29,2026-03-29
2023-11-17,SBILIFE.NS,A_breakout_40d,1413.95,1314.9735,Closed,,2026-03-29,2026-03-29
2023-11-17,SILVERBEES.NS,A_breakout_40d,72.26,67.2018,Closed,,2026-03-29,2026-03-29
2023-11-17,TVSMOTOR.NS,A_breakout_40d,1754.95,1632.1035,Closed,,2026-03-29,2026-03-29
2023-11-20,BAJAJ-AUTO.NS,A_breakout_40d,5640.5,5245.665,Closed,,2026-03-29,2026-03-29
2023-11-21,BAJAJ-AUTO.NS,A_breakout_40d,5680.0,5282.4,Closed,,2026-03-29,2026-03-29
2023-11-21,HDFCLIFE.NS,A_breakout_40d,669.75,622.8675,Closed,,2026-03-29,2026-03-29
2023-11-21,SBILIFE.NS,A_breakout_40d,1425.0,1325.25,Closed,,2026-03-29,2026-03-29
2023-11-22,BPCL.NS,A_breakout_40d,201.775,187.6507,Closed,,2026-03-29,2026-03-29
2023-11-23,BAJAJ-AUTO.NS,A_breakout_40d,5940.0,5524.2,Closed,,2026-03-29,2026-03-29
2023-11-23,HEROMOTOCO.NS,A_breakout_40d,3568.0,3318.24,Closed,,2026-03-29,2026-03-29
2023-11-23,TVSMOTOR.NS,A_breakout_40d,1783.0,1658.19,Closed,,2026-03-29,2026-03-29
2023-11-28,ADANIGREEN.NS,A_breakout_40d,1089.65,1013.3745,Closed,,2026-03-29,2026-03-29
2023-11-28,ADANIPORTS.NS,A_breakout_40d,850.0,790.5,Closed,,2026-03-29,2026-03-29
2023-11-28,ADANIPOWER.NS,A_breakout_40d,91.34,84.9462,Closed,,2026-03-29,2026-03-29
2023-11-28,BPCL.NS,A_breakout_40d,213.0,198.09,Closed,,2026-03-29,2026-03-29
2023-11-28,IOC.NS,A_breakout_40d,108.7,101.091,Closed,,2026-03-29,2026-03-29
2023-11-28,SILVERBEES.NS,A_breakout_40d,73.74,68.5782,Closed,,2026-03-29,2026-03-29
2023-11-28,TATAPOWER.NS,A_breakout_40d,275.0,255.75,Closed,,2026-03-29,2026-03-29
2023-11-29,BPCL.NS,A_breakout_40d,217.25,202.0425,Closed,,2026-03-29,2026-03-29
2023-11-29,GRASIM.NS,A_breakout_40d,1998.0553,1858.1914,Closed,,2026-03-29,2026-03-29
2023-11-29,HEROMOTOCO.NS,A_breakout_40d,3800.0,3534.0,Closed,,2026-03-29,2026-03-29
2023-11-29,TATAPOWER.NS,A_breakout_40d,273.0,253.89,Closed,,2026-03-29,2026-03-29
2023-11-30,AXISBANK.NS,A_breakout_40d,1075.4,1000.122,Closed,,2026-03-29,2026-03-29
2023-11-30,BHARTIARTL.NS,A_breakout_40d,1015.0,943.95,Closed,,2026-03-29,2026-03-29
2023-11-30,BPCL.NS,A_breakout_40d,220.0,204.6,Closed,,2026-03-29,2026-03-29
2023-11-30,DIVISLAB.NS,A_breakout_40d,3799.0,3533.07,Closed,,2026-03-29,2026-03-29
2023-11-30,DRREDDY.NS,A_breakout_40d,1160.0,1078.8,Closed,,2026-03-29,2026-03-29
2023-11-30,EICHERMOT.NS,A_breakout_40d,3922.0,3647.46,Closed,,2026-03-29,2026-03-29
2023-11-30,GRASIM.NS,A_breakout_40d,2011.9501,1871.1136,Closed,,2026-03-29,2026-03-29
