buy_signal_date,sell_signal_date,ticker,pattern,entry_price,target_return_pct,target_price,sell_price,realized_return_pct
2026-01-14,2026-01-19,SILVERBEES.NS,A_breakout_40d,262.81,6.0,278.5786,282.95,7.66
2026-01-12,2026-01-20,GOLDBEES.NS,A_breakout_40d,116.76,6.0,123.7656,125.86,7.79
2026-01-14,2026-01-20,GOLDBEES.NS,A_breakout_40d,118.01,6.0,125.0906,125.86,6.65
2026-01-19,2026-01-21,GOLDBEES.NS,A_breakout_40d,121.1,6.0,128.366,134.97,11.45
2026-01-20,2026-01-21,GOLDBEES.NS,A_breakout_40d,125.86,6.0,133.4116,134.97,7.24
2026-01-20,2026-01-27,SILVERBEES.NS,A_breakout_40d,297.62,6.0,315.4772,317.85,6.8
2026-01-14,2026-01-28,VEDL.NS,A_breakout_40d,675.75,6.0,716.295,737.1,9.08
2026-01-16,2026-01-28,VEDL.NS,A_breakout_40d,682.7,6.0,723.662,737.1,7.97
2026-01-21,2026-01-29,GOLDBEES.NS,A_breakout_40d,134.97,6.0,143.0682,146.53,8.56
2026-01-28,2026-01-29,GOLDBEES.NS,A_breakout_40d,135.82,6.0,143.9692,146.53,7.89
2026-01-27,2026-01-29,HINDALCO.NS,A_breakout_40d,961.85,6.0,1019.561,1024.05,6.47
2026-01-05,2026-01-29,SBIN.NS,A_breakout_40d,1005.55,6.0,1065.883,1066.2,6.03
2026-01-27,2026-01-29,SILVERBEES.NS,A_breakout_40d,317.85,6.0,336.921,351.91,10.72
2026-01-14,2026-01-29,TATASTEEL.NS,A_breakout_40d,189.25,6.0,200.605,202.32,6.91
2026-01-13,2026-02-09,SBIN.NS,A_breakout_40d,1028.45,6.0,1090.157,1146.0,11.43
2026-01-16,2026-02-09,SBIN.NS,A_breakout_40d,1042.3,6.0,1104.838,1146.0,9.95
2026-01-22,2026-02-09,SBIN.NS,A_breakout_40d,1048.35,6.0,1111.251,1146.0,9.31
2026-01-27,2026-02-09,SBIN.NS,A_breakout_40d,1053.15,6.0,1116.339,1146.0,8.82
2026-01-29,2026-02-09,SBIN.NS,A_breakout_40d,1066.2,6.0,1130.172,1146.0,7.48
2026-01-06,2026-02-18,AXISBANK.NS,A_breakout_40d,1293.8,6.0,1371.428,1377.0,6.43
2026-01-14,2026-02-18,AXISBANK.NS,A_breakout_40d,1298.8,6.0,1376.728,1377.0,6.02
2026-02-09,2026-02-18,SBIN.NS,A_breakout_40d,1146.0,6.0,1214.76,1218.9,6.36
2026-01-19,2026-02-23,AXISBANK.NS,A_breakout_40d,1307.5,6.0,1385.95,1386.7,6.06
2026-01-27,2026-02-25,AXISBANK.NS,A_breakout_40d,1315.8,6.0,1394.748,1403.0,6.63
2026-01-28,2026-02-25,AXISBANK.NS,A_breakout_40d,1319.8,6.0,1398.988,1403.0,6.3
2026-01-29,2026-02-25,TATASTEEL.NS,A_breakout_40d,202.32,6.0,214.4592,214.64,6.09
2026-02-04,2026-02-26,IOC.NS,A_breakout_40d,172.78,6.0,183.1468,186.47,7.92
2026-02-05,2026-02-26,IOC.NS,A_breakout_40d,175.77,6.0,186.3162,186.47,6.09
2026-01-12,2026-03-12,COALINDIA.NS,A_breakout_40d,432.3,6.0,458.238,470.1,8.74
