signal_date,ticker,pattern,close,sma50,sma200,prev_high_close,volume,vol_avg20,entry_price,entry_band_low,entry_band_high,stop_pct,stop_price,pattern_family,score_trend,score_setup,score_volume,score_rsi,score_risk,signal_score,consensus_count
2026-01-05,NESTLEIND.NS,A_breakout_40d,1314.6,1262.118,1200.9647,1295.0,2397082,964305.5,1314.6,1314.6,1340.892,7.0,1222.578,,,,,,,,
2026-01-05,SBIN.NS,A_breakout_40d,1005.55,964.301,849.751,998.95,11259060,6932004.8,1005.55,1005.55,1025.661,7.0,935.1615,,,,,,,,
2026-01-06,AXISBANK.NS,A_breakout_40d,1293.8,1254.47,1171.8595,1290.2,6751769,4042013.45,1293.8,1293.8,1319.676,7.0,1203.234,,,,,,,,
2026-01-06,INDUSINDBK.NS,A_breakout_40d,914.25,841.003,797.4013,902.45,8308942,3480536.5,914.25,914.25,932.535,7.0,850.2525,,,,,,,,
2026-01-07,TITAN.NS,A_breakout_40d,4273.2002,3887.854,3571.947,4111.7998,3496340,896200.8,4273.2002,4273.2002,4358.6642,7.0,3974.0762,,,,,,,,
2026-01-12,COALINDIA.NS,A_breakout_40d,432.3,390.15,389.7925,431.65,14407896,8744744.05,432.3,432.3,440.946,7.0,402.039,A,50.5,51.2,73.0,,58.0,56.7,1.0
2026-01-12,GOLDBEES.NS,A_breakout_40d,116.76,107.045,90.3,114.31,70988427,45095141.2,116.76,116.76,119.0952,7.0,108.5868,A,100.0,67.1,71.5,,58.0,76.0,1.0
2026-01-13,SBIN.NS,A_breakout_40d,1028.45,974.292,857.717,1018.9,11016895,7068863.8,1028.45,1028.45,1049.019,7.0,956.4585,A,100.0,57.5,71.2,,58.0,73.1,1.0
2026-01-14,AXISBANK.NS,A_breakout_40d,1298.8,1259.17,1178.1705,1295.5,7776704,4527397.25,1298.8,1298.8,1324.776,7.0,1207.884,A,84.4,52.0,74.4,61.5,58.0,67.0,1.0
2026-01-14,GOLDBEES.NS,A_breakout_40d,118.01,107.7312,90.7372,116.76,77320821,47913176.85,118.01,118.01,120.3702,7.0,109.7493,A,100.0,58.6,72.3,,58.0,73.6,1.0
2026-01-14,INDUSINDBK.NS,A_breakout_40d,944.5,854.086,804.2835,914.25,11559313,4048456.85,944.5,944.5,963.39,7.0,878.385,A,81.0,76.5,97.1,72.1,58.0,77.7,1.0
2026-01-14,SILVERBEES.NS,A_breakout_40d,262.81,183.2806,129.162,249.51,137283440,90836922.1,262.81,262.81,268.0662,7.0,244.4133,A,100.0,92.6,70.2,,58.0,83.4,1.0
2026-01-14,TATASTEEL.NS,A_breakout_40d,189.25,173.5994,163.0059,186.2,55907778,27390195.6,189.25,189.25,193.035,7.0,176.0025,A,82.5,63.1,80.8,68.3,58.0,71.1,1.0
2026-01-14,VEDL.NS,A_breakout_40d,675.75,555.944,473.3878,637.2,45759805,15557267.7,675.75,675.75,689.265,7.0,628.4475,A,100.0,98.4,98.8,81.2,58.0,90.0,1.0
2026-01-16,INDUSINDBK.NS,A_breakout_40d,953.85,860.525,807.131,944.5,10345071,4333466.6,953.85,953.85,972.927,7.0,887.0805,A,83.1,57.9,87.7,73.8,58.0,71.4,1.0
2026-01-16,INFY.NS,A_breakout_40d,1689.8,1589.412,1538.0723,1689.6,19335957,7145468.2,1689.8,1689.8,1723.596,7.0,1571.514,A,66.7,50.1,94.1,65.9,58.0,65.5,1.0
2026-01-16,SBIN.NS,A_breakout_40d,1042.3,978.911,861.6662,1028.45,11051580,7104716.15,1042.3,1042.3,1063.146,7.0,969.339,A,100.0,60.8,71.1,74.6,58.0,73.9,1.0
2026-01-16,TECHM.NS,A_breakout_40d,1670.5,1548.574,1521.0757,1646.7,3733401,1251456.0,1670.5,1670.5,1703.91,7.0,1553.565,A,59.0,61.6,99.7,65.9,58.0,67.6,1.0
2026-01-16,VEDL.NS,A_breakout_40d,682.7,562.851,475.4975,675.75,27743749,14688875.6,682.7,682.7,696.354,7.0,634.911,A,100.0,58.2,77.8,82.3,58.0,74.8,1.0
2026-01-19,AXISBANK.NS,A_breakout_40d,1307.5,1263.622,1181.19,1298.8,8833223,4545642.15,1307.5,1307.5,1333.65,7.0,1215.975,A,84.9,55.4,78.9,63.2,58.0,69.0,1.0
2026-01-19,GOLDBEES.NS,A_breakout_40d,121.1,108.8728,91.4202,118.01,91475080,50718448.8,121.1,121.1,123.522,7.0,112.623,A,100.0,70.9,76.1,77.9,58.0,77.8,1.0
2026-01-19,TECHM.NS,A_breakout_40d,1718.3,1555.206,1522.576,1670.5,10621562,1692394.45,1718.3,1718.3,1752.666,7.0,1598.019,A,60.7,72.9,100.0,71.3,58.0,71.6,1.0
2026-01-20,GOLDBEES.NS,A_breakout_40d,125.86,109.356,91.6787,121.1,171440092,55944138.95,125.86,125.86,128.3772,7.0,117.0498,A,100.0,81.4,100.0,83.4,58.0,85.6,1.0
2026-01-20,SILVERBEES.NS,A_breakout_40d,297.62,194.1536,132.807,282.95,245725046,104184407.4,297.62,297.62,303.5724,7.0,276.7866,A,100.0,91.5,87.2,89.8,58.0,86.3,1.0
2026-01-21,GOLDBEES.NS,A_breakout_40d,134.97,109.9896,91.97,125.86,248755481,66087305.6,134.97,134.97,137.6694,7.0,125.5221,A,100.0,100.0,100.0,89.0,58.0,91.1,1.0
2026-01-22,DABUR.NS,A_breakout_40d,525.35,509.788,502.9618,524.0,4249013,2027807.95,525.35,525.35,535.857,7.0,488.5755,A,56.8,52.1,81.9,61.7,58.0,60.7,1.0
2026-01-22,SBIN.NS,A_breakout_40d,1048.35,985.598,866.9335,1042.3,12001641,7765312.2,1048.35,1048.35,1069.317,7.0,974.9655,A,100.0,54.6,70.9,70.9,58.0,71.9,1.0
2026-01-27,AXISBANK.NS,A_breakout_40d,1315.8,1270.004,1186.4293,1307.5,22715357,6311469.2,1315.8,1315.8,1342.116,7.0,1223.694,A,85.2,55.1,100.0,59.5,58.0,72.9,1.0
2026-01-27,HINDALCO.NS,A_breakout_40d,961.85,865.995,742.2825,955.35,10009735,6090915.4,961.85,961.85,981.087,7.0,894.5205,A,100.0,55.4,72.9,67.8,58.0,72.4,1.0
2026-01-27,JSWSTEEL.NS,A_breakout_40d,1222.0,1145.18,1083.427,1189.8,3808562,1764996.85,1222.0,1222.0,1246.44,7.0,1136.46,A,78.5,71.7,83.2,64.9,58.0,72.7,1.0
2026-01-27,SBIN.NS,A_breakout_40d,1053.15,988.814,869.775,1048.35,14420630,8604550.9,1053.15,1053.15,1074.213,7.0,979.4295,A,100.0,53.7,73.5,66.8,58.0,71.9,1.0
2026-01-27,SILVERBEES.NS,A_breakout_40d,317.85,205.9308,136.9118,310.68,223275742,125583620.3,317.85,317.85,324.207,7.0,295.6005,A,100.0,68.5,75.6,75.4,58.0,76.9,1.0
2026-01-28,AXISBANK.NS,A_breakout_40d,1319.8,1271.408,1187.639,1315.8,15426403,6799127.7,1319.8,1319.8,1346.196,7.0,1227.414,A,85.3,52.4,85.4,60.3,58.0,69.4,1.0
2026-01-28,BEL.NS,A_breakout_40d,453.0,406.519,390.4665,418.65,71986647,18017288.2,453.0,453.0,462.06,7.0,421.29,A,70.6,100.0,100.0,72.4,58.0,82.0,1.0
