ticker,latest_date,latest_close,ret_1d_pct,ret_5d_pct,ret_20d_pct,ret_60d_pct,rsi14,sma20,sma50,sma200,high_52w,low_52w,dist_from_52w_high_pct,health,score,score_100,insight
ADANIPOWER.NS,2026-04-24,212.9,-0.6,7.25,44.0,51.08,85.69,178.61,158.4,143.3,217.25,101.0,-2.0,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
SIEMENS.NS,2026-04-24,3808.9,-1.44,2.72,27.46,30.08,71.78,3361.54,3271.63,3171.61,3901.0,2744.0,-2.36,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
HINDALCO.NS,2026-04-24,1048.35,0.67,0.9,24.77,11.0,68.18,967.1,944.28,830.49,1054.0,603.75,-0.54,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
NESTLEIND.NS,2026-04-24,1421.3,0.77,10.56,21.81,8.83,79.23,1258.88,1260.51,1236.17,1430.9,1084.7,-0.67,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
ADANIPORTS.NS,2026-04-24,1585.1,-1.11,0.74,21.59,12.08,65.67,1466.35,1470.23,1440.99,1618.8,1181.2,-2.08,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
LT.NS,2026-04-24,4014.3,-0.98,-2.0,20.1,5.81,55.99,3861.52,3930.74,3837.0,4440.0,3225.1,-9.59,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
AXISBANK.NS,2026-04-24,1365.9,-0.27,0.5,16.68,5.49,61.51,1296.76,1307.67,1221.94,1418.3,1042.5,-3.69,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
SHRIRAMFIN.NS,2026-04-24,1011.3,0.2,-2.47,15.22,0.58,52.03,978.69,1012.96,825.6,1108.0,566.5,-8.73,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
TITAN.NS,2026-04-24,4410.0,-1.04,-2.56,14.45,9.74,55.53,4310.55,4242.93,3853.95,4554.0,3245.5,-3.16,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
JSWSTEEL.NS,2026-04-24,1255.7,-0.1,1.24,13.17,6.02,60.13,1196.84,1208.43,1143.46,1296.4,935.0,-3.14,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
TATAPOWER.NS,2026-04-24,435.0,1.09,1.73,12.42,23.12,71.76,406.11,391.6,387.69,440.8,342.5,-1.32,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
TATASTEEL.NS,2026-04-24,210.07,-0.4,-0.97,12.23,11.09,60.01,203.36,202.08,179.04,216.45,137.05,-2.95,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
VEDL.NS,2026-04-24,720.95,-1.99,-8.45,11.65,6.23,48.82,721.87,705.91,561.34,795.0,398.6,-9.31,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
BEL.NS,2026-04-24,444.45,-1.22,-3.95,9.61,6.51,52.52,435.18,439.66,412.9,473.45,293.7,-6.13,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
BAJAJ-AUTO.NS,2026-04-24,9576.0,0.27,-2.02,9.12,2.2,53.22,9378.77,9498.38,9058.85,10187.0,7612.0,-6.0,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
APOLLOHOSP.NS,2026-04-24,7732.5,-0.62,0.44,8.22,13.76,57.92,7533.27,7562.44,7468.05,8099.5,6677.5,-4.53,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
NTPC.NS,2026-04-24,401.85,-0.1,2.1,7.91,17.35,65.64,382.97,378.38,346.54,407.25,315.55,-1.33,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
ONGC.NS,2026-04-24,284.8,-0.51,0.26,7.29,16.72,56.61,283.61,276.6,251.3,293.0,228.45,-2.8,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
SBIN.NS,2026-04-24,1101.1,0.63,1.93,6.71,5.03,56.02,1057.98,1111.98,959.28,1234.7,755.5,-10.82,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
DRREDDY.NS,2026-04-24,1317.1,-1.04,6.59,5.09,8.18,61.94,1240.11,1269.75,1256.63,1379.7,1129.4,-4.54,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
POWERGRID.NS,2026-04-24,316.4,-0.86,-0.53,4.73,22.04,65.19,304.61,300.82,284.6,323.05,250.0,-2.06,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
COALINDIA.NS,2026-04-24,456.0,1.19,3.93,0.16,7.75,57.6,445.91,441.31,404.73,476.0,368.65,-4.2,Doing well,4,100,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
ADANIGREEN.NS,2026-04-24,1235.8,1.78,9.62,51.36,36.66,83.14,1021.3,961.61,990.34,1252.0,765.0,-1.29,Doing well,3,75,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
EICHERMOT.NS,2026-04-24,7111.5,0.27,-1.08,6.44,0.89,49.87,7002.8,7322.8,6844.32,8230.0,5219.5,-13.59,Doing well,3,75,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
DIVISLAB.NS,2026-04-24,6361.5,-0.27,2.13,5.79,4.79,63.22,6086.57,6180.01,6310.44,7071.5,5636.5,-10.04,Doing well,3,75,Trend is strong and price behavior is healthy. Keep on watchlist for future opportunities.
TRENT.NS,2026-04-24,4297.3,1.08,4.62,28.02,12.97,64.8,3880.34,3871.45,4489.96,6261.0,3275.5,-31.36,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
ADANIENT.NS,2026-04-24,2287.6,-0.54,3.12,24.8,9.64,69.89,2045.89,2076.81,2292.07,2695.0,1753.0,-15.12,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
SILVERBEES.NS,2026-04-24,227.89,-0.78,-4.3,17.76,-17.51,47.55,226.54,235.19,178.6,360.0,90.47,-36.7,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
ULTRACEMCO.NS,2026-04-24,11998.0,-1.39,0.94,15.79,-2.96,57.3,11447.0,11874.16,12104.12,13110.0,10325.0,-8.48,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
TMPV.NS,2026-04-24,350.5,-0.41,-2.67,14.82,0.92,55.79,332.86,346.77,,419.0,294.3,-16.35,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
TATACONSUM.NS,2026-04-24,1174.0,-0.88,5.46,14.69,-0.1,69.24,1089.77,1107.96,1126.06,1220.9,1007.2,-3.84,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
GOLDBEES.NS,2026-04-24,123.94,-0.11,-0.69,11.94,-0.32,49.0,122.78,126.24,106.3,148.14,76.36,-16.34,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
INDUSINDBK.NS,2026-04-24,847.95,-1.44,-0.7,8.94,-6.04,51.61,821.25,867.34,832.04,968.85,710.6,-12.48,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
ICICIBANK.NS,2026-04-24,1326.2,-1.62,-1.53,8.46,-1.43,51.74,1297.31,1327.29,1379.07,1500.0,1187.6,-11.59,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
GRASIM.NS,2026-04-24,2739.3,0.16,0.69,8.23,-1.73,53.07,2684.78,2743.64,2782.38,2979.0,2502.5,-8.05,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
PIDILITIND.NS,2026-04-24,1394.3,-0.56,0.06,6.04,-4.03,54.41,1345.77,1399.97,1468.63,1574.95,1259.0,-11.47,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
MAXHEALTH.NS,2026-04-24,999.4,-0.73,-0.82,4.44,0.06,53.17,974.75,1014.64,1110.62,1314.3,903.0,-23.96,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
BRITANNIA.NS,2026-04-24,5730.5,1.04,-0.09,4.38,-3.4,52.16,5596.88,5810.17,5859.87,6336.0,5276.5,-9.56,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
IOC.NS,2026-04-24,143.47,-1.38,-1.65,3.88,-9.8,43.87,141.28,157.3,155.76,188.96,130.22,-24.07,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
TVSMOTOR.NS,2026-04-24,3488.2,-0.71,-6.63,2.22,-2.29,42.08,3603.34,3670.28,3478.03,3970.0,2640.0,-12.14,Mixed,2,50,Signals are mixed. Wait for trend and momentum to align before fresh allocation.
ASIANPAINT.NS,2026-04-24,2485.1,-1.44,0.86,17.15,-8.09,60.98,2342.38,2329.71,2523.83,2985.7,2115.0,-16.77,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
INDIGO.NS,2026-04-24,4523.1,-0.72,-2.49,14.65,-7.86,51.39,4423.33,4532.65,5286.84,6232.5,3895.2,-27.43,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
AMBUJACEM.NS,2026-04-24,451.2,0.18,-1.7,14.13,-17.45,51.03,437.02,465.2,540.47,624.95,394.0,-27.8,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
DLF.NS,2026-04-24,587.05,-0.97,-2.44,14.05,-4.28,54.12,561.24,583.03,700.06,886.8,489.4,-33.8,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
BPCL.NS,2026-04-24,308.1,-0.55,-1.28,13.56,-13.0,49.42,296.54,328.68,341.88,391.65,266.6,-21.33,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
BAJFINANCE.NS,2026-04-24,921.55,0.35,1.46,13.41,-2.26,54.14,886.38,925.59,961.88,1102.5,787.9,-16.41,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
HINDUNILVR.NS,2026-04-24,2327.3,-1.65,3.86,13.41,-2.65,63.76,2168.92,2227.61,2405.02,2750.0,2022.5,-15.37,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
ETERNAL.NS,2026-04-24,256.79,-1.2,1.65,13.14,-6.93,57.88,243.93,249.34,290.01,368.45,212.6,-30.31,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
SHREECEM.NS,2026-04-24,24950.0,-2.04,-1.34,9.79,-9.04,52.75,24362.75,24896.5,27703.42,32490.0,22550.0,-23.21,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
GODREJCP.NS,2026-04-24,1089.9,-4.64,-1.76,8.73,-12.53,50.83,1060.91,1110.35,1172.91,1309.0,967.05,-16.74,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
JIOFIN.NS,2026-04-24,245.73,-1.18,0.77,8.68,-6.42,53.54,237.9,245.38,290.02,338.6,223.3,-27.43,Weak,1,25,Trend is weak right now. Better to avoid fresh long entries until structure improves.
