ticker,sector
INDIGO.NS,Airlines
SPICEJET.NS,Airlines
EICHERMOT.NS,Auto
HEROMOTOCO.NS,Auto
M&M.NS,Auto
MARUTI.NS,Auto
TATAMOTORS.NS,Auto
TVSMOTOR.NS,Auto
AXISBANK.NS,Banking
HDFCBANK.NS,Banking
ICICIBANK.NS,Banking
INDUSINDBK.NS,Banking
KOTAKBANK.NS,Banking
SBIN.NS,Banking
AMBUJACEM.NS,Cement
SHREECEM.NS,Cement
ULTRACEMCO.NS,Cement
PIDILITIND.NS,Chemicals
GOLDBEES.NS,Commodity ETF
SILVERBEES.NS,Commodity ETF
ASIANPAINT.NS,Consumer
TITAN.NS,Consumer
ADANIENT.NS,Diversified
BPCL.NS,Energy
IOC.NS,Energy
ONGC.NS,Energy
RELIANCE.NS,Energy
BRITANNIA.NS,FMCG
DABUR.NS,FMCG
GODREJCP.NS,FMCG
HINDUNILVR.NS,FMCG
ITC.NS,FMCG
NESTLEIND.NS,FMCG
TATACONSUM.NS,FMCG
APOLLOHOSP.NS,Healthcare
HCLTECH.NS,IT
INFY.NS,IT
TCS.NS,IT
TECHM.NS,IT
WIPRO.NS,IT
LT.NS,Industrials
SIEMENS.NS,Industrials
SBILIFE.NS,Insurance
ADANIPORTS.NS,Logistics
GRASIM.NS,Materials
HINDALCO.NS,Metals
JSWSTEEL.NS,Metals
TATASTEEL.NS,Metals
VEDL.NS,Metals
COALINDIA.NS,Mining
BAJAJFINSV.NS,NBFC
BAJFINANCE.NS,NBFC
BAJAJ-AUTO.NS,Other
BEL.NS,Other
ETERNAL.NS,Other
HDFCLIFE.NS,Other
JIOFIN.NS,Other
MAXHEALTH.NS,Other
SHRIRAMFIN.NS,Other
TMPV.NS,Other
TRENT.NS,Other
^NSEI,Other
CIPLA.NS,Pharma
DIVISLAB.NS,Pharma
DRREDDY.NS,Pharma
SUNPHARMA.NS,Pharma
DLF.NS,Real Estate
BHARTIARTL.NS,Telecom
INDUSTOWER.NS,Telecom Infra
ADANIGREEN.NS,Utilities
ADANIPOWER.NS,Utilities
NTPC.NS,Utilities
POWERGRID.NS,Utilities
TATAPOWER.NS,Utilities
